Order,Component,Type
316,私はその時以来彼にあっていない。,sentence
317,出来る,word
318,あなたは私達と行きますか。,sentence
319,言,kanji
320,できた？,sentence
321,炎,kanji
322,談,kanji
323,会談,word
324,よう,word
325,彼はいい人のようだ。,sentence
326,白,kanji
327,羊(𦍌),kanji-variant
328,我,kanji
329,義,kanji
330,議,kanji
331,会議,word
332,私が会議に行きます。,sentence
333,等,kanji
334,等,word
335,彼らならできる。,sentence
336,長,kanji
337,会長,word
338,其れ,word
339,あなたはそれを見ましたか？,sentence
340,石,kanji
341,主,kanji
342,住,kanji
343,乇,kanji
344,宅,kanji
345,住宅,word
346,尹,kanji
347,君,kanji
348,君,word
349,君、トムなの？,sentence
350,民,kanji
351,住民,word
352,たい,word
353,あなたはそれを見たいですか。,sentence
354,休,kanji
355,体,kanji
356,刀,kanji
357,刀(刂),kanji-variant
358,制,kanji
359,体制,word
360,牛(⺧),kanji-variant
361,先,kanji
362,乍,kanji
363,作,kanji
364,品,kanji
365,作品,word
366,下さる,word
367,それをください。,sentence
368,名,kanji
369,作業,word
370,ね,word
371,いいね。,sentence
372,字,kanji
373,西,kanji
374,西(覀),kanji-variant
375,価,kanji
376,夂,radical
377,各,kanji
378,格,kanji
379,価格,word
380,牛(牜),kanji-variant
381,勹,radical
382,勿,kanji
383,物,kanji
384,物,word
385,それを見たいものです。,sentence
386,呆,kanji
387,保,kanji
388,艸(艹),kanji-variant
389,隹,radical
390,隻,kanji
391,蒦,kanji
392,護,kanji
393,保護,word
394,1,sentence-component
395,貴方達は、一つです。,sentence
396,早,kanji
397,信,kanji
398,信,word
399,呉,kanji
400,呉れる,word
401,トムがそれ、くれたの？,sentence
402,固,kanji
403,個,kanji
404,個人,word
405,豕,radical
406,家,kanji
407,家,word
408,いい家のようです。,sentence
409,百,kanji
410,丨,radical
411,候,kanji
412,衣,kanji
413,衣(衤),kanji-variant
414,甫,kanji
415,補,kanji
416,候補,word
417,って,word
418,それって、トムから？,sentence
419,憂,kanji
420,だって事実だろ。,sentence
421,優,kanji
422,勝,kanji
423,優勝,word
424,トムが優勝したんだよ。,sentence
425,どう,word
426,あなたなら、どうしますか？,sentence
427,糸,kanji
428,小(⺌),kanji-variant
429,光,kanji
430,光,word
431,君は世界の光だよ。,sentence
432,此れ,word
433,これ、あなたのですか？,sentence
434,耳,kanji
435,全,kanji
436,全体,word
437,まで,word
438,じゃあその時までね。,sentence
439,虫,kanji
440,国,kanji
441,全国,word
442,へ,word
443,私が君のところへ行くよ。,sentence
444,村,kanji
445,8,word-component
446,八,word
447,な,word
448,いいなあ。,sentence
449,男,kanji
450,6,word-component
451,六,word
452,誰,kanji
453,誰,word
454,あなたは誰ですか。,sentence
455,町,kanji
456,廿,kanji
457,廿(卄),kanji-variant
458,共,kanji
459,冂,radical
460,同,kanji
461,共同,word
462,中,word
463,トムは家の中に居る。,sentence
464,乙(乚),kanji-variant
465,化,kanji
466,花,kanji
467,具,kanji
468,具体,word
469,勺,kanji
470,的,kanji
471,的,word
472,具体的,word
473,㠯,kanji
474,遣,kanji
475,遣る,word
476,あなたがやれば。,sentence
477,内,kanji
478,私たちは共同でその会社をやっていた。,sentence
479,谷,kanji
480,私は彼と共同で事業をやる。,sentence
481,容,kanji
482,内容,word
483,為さる,word
484,いいから家にいなさい。,sentence
485,閣,kanji
486,内閣,word
487,好,kanji
488,好き,word
489,あなたが好きです。,sentence
490,赤,kanji
491,お好きなように。,sentence
492,冖,radical
493,写,kanji
494,真,kanji
495,写真,word
496,この写真を見て下さい。,sentence
497,取,kanji
498,取る,word
499,これは私が彼の家でとった写真です。,sentence
500,足,kanji
501,身,kanji
502,出身,word
503,方,word
504,あなたは行ったほうがいい。,sentence
505,車,kanji
506,分,kanji
507,里,kanji
508,野,kanji
509,分野,word
510,夫,kanji
511,菐,kanji
512,僕,kanji
513,僕,word
514,あなたが行かないのなら、僕も行かない。,sentence
515,学,kanji
516,初,kanji
517,初,word
518,舌,kanji
519,話,kanji
520,話す,word
521,あなたがトムと話しているのを見ました。,sentence
522,林,kanji
523,彼は会社を代表して、私に話してくれた。,sentence
524,半,kanji
525,判,kanji
526,米,kanji
527,断,kanji
528,判断,word
529,これから判断すると。,sentence
530,られる,word
531,どうして彼は来られなかったのですか。,sentence
532,穴,kanji
533,空,kanji
534,夬,kanji
535,決,kanji
536,判決,word
537,手(扌),kanji-variant
538,持,kanji
539,持つ,word
540,あなたの物を持って行け。,sentence
541,金,kanji
542,广,radical
543,度,kanji
544,制度,word
545,本,word
546,あなたの本です。,sentence
547,雨,kanji
548,肖,kanji
549,削,kanji
550,戌,kanji
551,咸,kanji
552,減,kanji
553,削減,word
554,もう,word
555,あなたはもう行ったほうがいい。,sentence
556,前,kanji
557,前年,word
558,為,word
559,あなたのためにしました。,sentence
560,草,kanji
561,加,kanji
562,明,kanji
563,皿,kanji
564,盟,kanji
565,加盟,word
566,分かる,word
567,1つ分からないことがあります。,sentence
568,音,kanji
569,奴,kanji
570,努,kanji
571,努力,word
572,君も努力してよ。,sentence
573,メアリー,sentence-component
574,トムがメアリーに話すよ。,sentence
575,校,kanji
576,労,kanji
577,重,kanji
578,動,kanji
579,働,kanji
580,労働,word
581,辵(⻌),kanji-variant
582,迚,kanji
583,迚も,word
584,この家はとても良い。,sentence
585,森,kanji
586,効,kanji
587,果,kanji
588,効果,word
589,より,word
590,あなたよりトムの方が好きなの。,sentence
591,動き,word
592,そう,word
593,そう。,sentence
594,万,kanji
595,圥,kanji
596,坴,kanji
597,丸,kanji
598,埶,kanji
599,勢,kanji
600,勢力,word
601,出る,word
602,それは出ていった。,sentence
603,北,kanji
604,北,word
605,2,sentence-component
606,私たちは二時まで話していた。,sentence
607,匚,radical
608,矢,kanji
609,医,kanji
610,疒,radical
611,尞,kanji
612,療,kanji
613,医療,word
614,吾,kanji
615,語,kanji
616,語,word
617,弓,kanji
618,10,word-component
619,十,word
620,処,kanji
621,此処,word
622,あなたの本がここにあります。,sentence
623,才,kanji
624,千,word
625,せる,word
626,これ、僕にやらせてよ。,sentence
627,午,kanji
628,午前,word
629,今,word
630,それ、今した方がいいよ。,sentence
631,兀,kanji
632,元,kanji
633,午後,word
634,午後に私の事務所に来てください。,sentence
635,会う,word
636,あなたに会いたい方がおいでです。,sentence
637,公,kanji
638,劦,kanji
639,協,kanji
640,協力,word
641,私は彼と協力した。,sentence
642,「,sentence-component
643,協議,word
644,」,sentence-component
645,「どうして行かないの？」「行きたくないからだよ。」,sentence
646,南,kanji
647,南,word
648,日本,word
649,ここが日本です。,sentence
650,切,kanji
651,刀(⺈),kanji-variant
652,厂,radical
653,厃,kanji
654,危,kanji
655,幾,kanji
656,機,kanji
657,危機,word
658,原,kanji
659,則,kanji
660,原則,word
661,聞,kanji
662,聞く,word
663,あなたが来るって聞いてなかったよ。,sentence
664,友,kanji
665,因,kanji
666,原因,word
667,そうです。原因だってわかってますよ。,sentence
668,𡗗,kanji
669,臼,kanji
670,舂,kanji
671,舂く,word
672,突,kanji
673,突く,word
674,氏,kanji
675,氐,kanji
676,鳥,kanji
677,鴟,kanji
678,鵂,kanji
679,鴟鵂,word
680,免,kanji
681,兔,kanji
682,菟,kanji
683,木菟,word
684,角,kanji
685,角,word
686,角の家は私たちの家です。,sentence
687,鴟,word
688,吐,kanji
689,吐く,word
690,付,kanji
691,付く,word
692,あなたにはついていけません。,sentence
693,つく,word
694,これについては分かりません。,sentence
695,太,kanji
696,私は、あなたがそのことについて話せない事情もわかる。,sentence
697,彡,radical
698,参,kanji
699,参加,word
700,あなたは彼が参加したいかどうか聞けばそれでいい。,sentence
701,前,word
702,あなたたち、前に会ったことある？,sentence
703,反,kanji
704,対,kanji
705,反対,word
706,トムは反対したの？,sentence
707,！,sentence-component
708,「トム！」「メアリー！」,sentence
709,引,kanji
710,ちっ！,sentence
711,取り引き,word
712,あなたと取り引きします。,sentence
713,取引,word
714,食,kanji
715,食べる,word
716,あなたがこれ食べるんなら、私も食べる。,sentence
717,可,kanji
718,可能,word
719,可能であれば来てください。,sentence
720,金,word
721,その金はわたしのではない。,sentence
722,台,kanji
723,台,word
724,3,sentence-component
725,これを三つください。,sentence
726,右,word
727,日本は今午前3時です。,sentence
728,舛,radical
729,舞,kanji
730,仕舞う,word
731,あなたが来る前に私たちは行ってしまうよ。,sentence
732,合,kanji
733,吐いてしまいました。,sentence
734,意,kanji
735,合意,word
736,良く,word
737,いいか、よく聞いてくれ！,sentence
738,毛,kanji
739,同時,word
740,二つのことを同時にはできないよ。,sentence
741,圭,kanji
742,彼ね、ふたつ同時にできるのよ。,sentence
743,卜,kanji
744,卦,kanji
745,掛,kanji
746,掛ける,word
747,お掛けください。,sentence
748,かける,word
749,おかけ下さい。,sentence
750,冂,kanji
751,冂(⺆),kanji-variant
752,周,kanji
753,辺,kanji
754,周辺,word
755,目(⺫),kanji-variant
756,買,kanji
757,買う,word
758,あなたはこの本を買いましたか。,sentence
759,和,kanji
760,１台買わなければならない。,sentence
761,平,kanji
762,和平,word
763,冏,kanji
764,商,kanji
765,商品,word
766,それは人気商品だ。,sentence
767,直,kanji
768,直ぐ,word
769,あなたはすぐに行かなければならない。,sentence
770,冬,kanji
771,問,kanji
772,是,kanji
773,頁,kanji
774,題,kanji
775,問題,word
776,あなたの問題は私にはわかっています。,sentence
777,何,kanji
778,私たちはその問題を彼らと協議した。,sentence
779,何処,word
780,あなたは何処から来ましたか。,sentence
781,どこ,word
782,「どこにいるの？」「ここだよ」,sentence
783,4,word-component
784,ご出身はどこですか。,sentence
785,四,word
786,彼の,word
787,あの。。。,sentence
788,复,kanji
789,あの二人、できてるの？,sentence
790,復,kanji
791,回復,word
792,トムは回復した。,sentence
793,さん,word
794,トムさんはメアリーさんのやっていることがわかりません。,sentence
795,団,kanji
796,団体,word
797,丈,kanji
798,丈,word
799,だけ,word
800,あなたが好きなだけお取り下さい。,sentence
801,国,word
802,あなたはどこの国の出身ですか。,sentence
803,老,kanji
804,老(耂),kanji-variant
805,者,kanji
806,者,word
807,彼がどこにいるのか、わかる者はいなかった。,sentence
808,外,kanji
809,国会,word
810,べし,word
811,あなたはここで食べるべきではない。,sentence
812,巾,kanji
813,市,kanji
814,国内,word
815,そんな,word
816,「どうしてそんなことしたの？」「そうしたかったから」,sentence
817,広,kanji
818,国家,word
819,売,kanji
820,読,kanji
821,読む,word
822,あなたはこの本を読んでもいい。,sentence
823,母,kanji
824,国民,word
825,彼らは日本の国民となった。,sentence
826,用,kanji
827,連,kanji
828,国連,word
829,事,word
830,あなたはこの写真をどこかで見た事があるでしょう。,sentence
831,阜,kanji
832,阜(⻖),kanji-variant
833,祭,kanji
834,際,kanji
835,国際,word
836,入る,word
837,あのいえは今誰も人が入っていない。,sentence
838,也,kanji
839,地,kanji
840,土地,word
841,この土地とこの家は私の物ですよ。,sentence
842,比,kanji
843,この土地の一部は私のものだ。,sentence
844,皆,kanji
845,皆,word
846,ここにいた人々はみんな行ってしまった。,sentence
847,地元,word
848,何時,word
849,そうねえ、何時。,sentence
850,何時も,word
851,いつも,word
852,いつも、その本を読みたいんです。,sentence
853,戈,radical
854,或,kanji
855,域,kanji
856,地域,word
857,あの地域には入るな。,sentence
858,仏,kanji
859,仏,word
860,あの人は仏のような人だ。,sentence
861,柬,kanji
862,闌,kanji
863,蘭,kanji
864,蘭,word
865,西,word
866,私たちは、西へ行く。,sentence
867,フランス,word
868,あなたはフランスに行ったことあるの？,sentence
869,地方,word
870,未だ,word
871,あの本、まだ読んでるの？,sentence
872,王(𤣩),kanji-variant
873,求,kanji
874,球,kanji
875,地球,word
876,私たちは人間で地球から来ました。,sentence
877,聿,radical
878,曰,radical
879,書,kanji
880,書く,word
881,あなたがそれを書いたの？,sentence
882,基,kanji
883,基本,word
884,これは基本です。,sentence
885,上げる,word
886,あなたがメアリーの本を持ってあげてるのを見ました。,sentence
887,淮,kanji
888,その事件について話してあげよう。,sentence
889,準,kanji
890,基準,word
891,これは彼らの仕事の基準となろう。,sentence
892,明日,word
893,あしたは、来なくていいよ。,sentence
894,多,kanji
895,丶,kanji
896,丶(丷),kanji-variant
897,干,kanji
898,幸,kanji
899,𠬝,kanji
900,報,kanji
901,告,kanji
902,報告,word
903,彼は見たことを彼らに報告した。,sentence
904,貰,kanji
905,貰う,word
906,あなたにこの本を読んでもらいたい。,sentence
907,首,kanji
908,道,kanji
909,報道,word
910,彐,radical
911,当,kanji
912,旦,kanji
913,昜,kanji
914,場,kanji
915,場所,word
916,あなたの家でいいですか、場所は？,sentence
917,昨,kanji
918,昨日,word
919,あなたが昨日来てくれればよかったのに。,sentence
920,毎,kanji
921,声,kanji
922,声,word
923,あなたの声いいね。,sentence
924,けれど,word
925,あなたに話したいけど、でもできないの。,sentence
926,池,kanji
927,亦,kanji
928,変,kanji
929,変化,word
930,変化の時でした。,sentence
931,さ,word
932,そうさなんでも好きなものでいいんだ。,sentence
933,夏,kanji
934,夏,word
935,今年の夏はどこかへ行く予定ですか。,sentence
936,目,word
937,あなたはすぐ目の前にいました。,sentence
938,羽,kanji
939,外交,word
940,网,kanji
941,网(⺲),kanji-variant
942,置,kanji
943,置く,word
944,あの本を私のためにとっておいて下さい。,sentence
945,丂,kanji
946,考,kanji
947,外務,word
948,省,kanji
949,省,word
950,外務省,word
951,冎,kanji
952,咼,kanji
953,過,kanji
954,過ぎる,word
955,それは行きすぎである。,sentence
956,肉,kanji
957,外国,word
958,あなたは外国の本を持っていますか。,sentence
959,新,kanji
960,新しい,word
961,あなたはこの新しい仕事がすぐに好きになるだろう。,sentence
962,自,kanji
963,外国人,word
964,僕ら、外国人じゃないよ。,sentence
965,いつ,word
966,あなたの本はいつ出るのですか？,sentence
967,色,kanji
968,彼がいつ日本に来るか報道されるだろう。,sentence
969,相,kanji
970,外相,word
971,其処,word
972,そこ,word
973,あなたがどうしてそこへ行きたくないのかが分かります。,sentence
974,大会,word
975,そこには何時もだれかがいる。,sentence
976,フランス語,word
977,あなたはフランス語が話せますか。,sentence
978,大学,word
979,今後は、フランス語で話します。,sentence
980,尺,kanji
981,あなたは大学に行っていますか。,sentence
982,沢,kanji
983,沢山,word
984,この本にはたくさんの写真が入っている。,sentence
985,畐,kanji
986,幅,kanji
987,大幅,word
988,ほど,word
989,そこに居れば居るほどその土地が好きになる。,sentence
990,大手,word
991,お金,word
992,あのお金は僕んじゃないよ。,sentence
993,允,kanji
994,充,kanji
995,統,kanji
996,乙(龴),kanji-variant
997,令,kanji
998,領,kanji
999,大統領,word
1000,君は大統領にもなる事が出来るよね。,sentence
1001,住む,word
1002,あの人たち、住む家がないのよ。,sentence
1003,乂,kanji
1004,彼は一時ここに住んでいた。,sentence
1005,図,kanji
1006,茂,kanji
1007,臣,kanji
1008,蔵,kanji
1009,大蔵,word
1010,大蔵省,word
1011,亜,kanji
1012,悪,kanji
1013,悪い,word
1014,あなたが悪い人なら、それはあなたの問題です。,sentence
1015,夫,word
1016,事態は悪くなる一方です。,sentence
1017,見える,word
1018,夫はいい人よ。,sentence
1019,丰,kanji
1020,その事故で彼は目が見えなくなった。,sentence
1021,契,kanji
1022,私は右の目が見えない。,sentence
1023,約,kanji
1024,契約,word
1025,契約したの？,sentence
1026,待,kanji
1027,私は価格について彼と契約する。,sentence
1028,待つ,word
1029,あなたの参加をお待ちしています。,sentence
1030,弔,kanji
1031,弟,kanji
1032,女子,word
1033,考える,word
1034,あなたなら、これをどう考えますか。,sentence
1035,开,kanji
1036,あなたは、この問題を全体として考えねばならない。,sentence
1037,形,kanji
1038,性,kanji
1039,女性,word
1040,あなたはどこでその女性を見ましたか。,sentence
1041,責,kanji
1042,積,kanji
1043,積もり,word
1044,あしたは家に居るつもりだ。,sentence
1045,妻,kanji
1046,妻,word
1047,あなたの妻はここにいる。,sentence
1048,全て,word
1049,あなたのことは全てわかっています。,sentence
1050,汽,kanji
1051,委,kanji
1052,委員,word
1053,委員達は皆それに反対している。,sentence
1054,掛かる,word
1055,いつお目にかかれますか。,sentence
1056,会,word
1057,この会の会員ですか。,sentence
1058,委員会,word
1059,その問題は委員会にかけられている。,sentence
1060,間,word
1061,この間彼に会った。,sentence
1062,氷,kanji
1063,氷(冫),kanji-variant
1064,欠,kanji
1065,次,kanji
1066,姿,kanji
1067,姿,word
1068,トムの姿はどこにも見えなかった。,sentence
1069,犬,word
1070,あなたの犬はここにいます。,sentence
1071,姿勢,word
1072,立つ,word
1073,いつここをお立ちになりますか。,sentence
1074,子,word
1075,あなたは悪い子ね。,sentence
1076,受,kanji
1077,受ける,word
1078,私も受けました。,sentence
1079,走,kanji
1080,供,kanji
1081,子供,word
1082,あなたはもう子供ではない。,sentence
1083,10,sentence-component
1084,10時まで仕事するつもりなの？,sentence
1085,近,kanji
1086,学校,word
1087,あなたがたの学校はどこにありますか。,sentence
1088,食(飠),kanji-variant
1089,飲,kanji
1090,飲む,word
1091,それは飲まないでください。,sentence
1092,学生,word
1093,あなたたちは学生ですか。,sentence
1094,くらい,word
1095,そのくらい誰でもできる。,sentence
1096,麦,kanji
1097,安,kanji
1098,安全,word
1099,あなたが安全な場所にいるといいですね。,sentence
1100,上,word
1101,この本は一番上に置いてください。,sentence
1102,京,kanji
1103,施,kanji
1104,実施,word
1105,入れる,word
1106,どうか中に入れて下さい。,sentence
1107,客,kanji
1108,客,word
1109,トムは客だ。,sentence
1110,合う,word
1111,あなたにとてもよく合います。,sentence
1112,夜,kanji
1113,亘,kanji
1114,宣,kanji
1115,宣言,word
1116,乗,kanji
1117,乗る,word
1118,ノってるね。,sentence
1119,妹,kanji
1120,廴,radical
1121,廷,kanji
1122,庭,kanji
1123,家庭,word
1124,あなたの家庭のことを書いて下さい。,sentence
1125,欲,kanji
1126,欲しい,word
1127,あなたが欲しいだけ取りなさい。,sentence
1128,姉,kanji
1129,具体的に話して欲しい。,sentence
1130,族,kanji
1131,家族,word
1132,あなたは家族の事を考えるべきです。,sentence
1133,高,kanji
1134,高い,word
1135,この本、高すぎるよ。,sentence
1136,岩,kanji
1137,疑,kanji
1138,容疑,word
1139,容疑者,word
1140,多い,word
1141,ここは人が多すぎるよ。,sentence
1142,多く,word
1143,この事故には多くの原因があった。,sentence
1144,卜(⺊),kanji-variant
1145,占,kanji
1146,店,kanji
1147,審,kanji
1148,審議,word
1149,その問題は審議中です。,sentence
1150,孝,kanji
1151,教,kanji
1152,教える,word
1153,あなた達のことを教えて。,sentence
1154,応,kanji
1155,対応,word
1156,歩く,word
1157,あなたは学校に歩いていきますか。,sentence
1158,東,kanji
1159,朿,kanji
1160,策,kanji
1161,対策,word
1162,帚,kanji
1163,帰,kanji
1164,帰る,word
1165,あなたが帰ったとき、私はもう出てしまっていた。,sentence
1166,象,kanji
1167,対象,word
1168,この本は子供を対象とした本です。,sentence
1169,作る,word
1170,それはわたしが作ったのよ。,sentence
1171,画,kanji
1172,丬,kanji
1173,将,kanji
1174,将来,word
1175,あなたの将来について考えなさい。,sentence
1176,付ける,word
1177,羊(⺶),kanji-variant
1178,着,kanji
1179,着ける,word
1180,つける,word
1181,「。」をつけてください。,sentence
1182,少し,word
1183,あなたはたくさんお金をもっているが私は少しももっていない。,sentence
1184,働く,word
1185,あなたはどこで働いていますか。,sentence
1186,知,kanji
1187,州,kanji
1188,州,word
1189,もっと,word
1190,あなたはもっと仕事をしなければなりません。,sentence
1191,工場,word
1192,そこに新しい工場を作ったらどうでしょうか。,sentence
1193,亡,kanji
1194,忘,kanji
1195,忘れる,word
1196,あたしをお忘れになったのですか。,sentence
1197,左,word
1198,入るお金が右から左へと出てしまう。,sentence
1199,早い,word
1200,あなたが早くやっていればよいことです。,sentence
1201,市,word
1202,この国には多くの市がある。,sentence
1203,内,word
1204,私たちは市内のある場所で会った。,sentence
1205,市内,word
1206,よる,word
1207,すべてはそれによるね。,sentence
1208,市場,word
1209,市場に行く。,sentence
1210,余,kanji
1211,余り,word
1212,あまり彼に会いません。,sentence
1213,至,kanji
1214,室,kanji
1215,始,kanji
1216,始める,word
1217,あなたはすぐに始めなければなりません。,sentence
1218,市民,word
1219,私は世界市民である。,sentence
1220,彐,kanji
1221,彐(⺕),kanji-variant
1222,寝,kanji
1223,寝る,word
1224,2時になったら寝るね。,sentence
1225,思,kanji
1226,平和,word
1227,彼が出て行けば家の中に平和になるだろう。,sentence
1228,友達,word
1229,あなたとあなたのお友達のお出でをお待ちしています。,sentence
1230,星,kanji
1231,匀,kanji
1232,均,kanji
1233,平均,word
1234,月,word
1235,10月にトムと会った。,sentence
1236,春,kanji
1237,年間,word
1238,トムは日本に10年間住んでいたことがあります。,sentence
1239,うち,word
1240,「そのうちに」はいつになっても来ない。,sentence
1241,昼,kanji
1242,𠦝,kanji
1243,幹,kanji
1244,幹事,word
1245,夅,kanji
1246,降,kanji
1247,降る,word
1248,活,kanji
1249,幹部,word
1250,頂,kanji
1251,頂く,word
1252,お入り頂きなさい。,sentence
1253,毎(每),kanji-variant
1254,海,kanji
1255,建,kanji
1256,設,kanji
1257,建設,word
1258,5,sentence-component
1259,5時ぐらいだよ。,sentence
1260,点,kanji
1261,強,kanji
1262,強化,word
1263,全く,word
1264,この地域に人が住んだことは全くない。,sentence
1265,秋,kanji
1266,トムはこの問題にどう対応すれば良いのか全く分からない。,sentence
1267,当初,word
1268,着く,word
1269,あなたが彼の家に着いたとき、彼は寝ているでしょう。,sentence
1270,斗,kanji
1271,科,kanji
1272,局,kanji
1273,当局,word
1274,同じ,word
1275,あなたにも同じようなことができますか。,sentence
1276,茶,kanji
1277,当時,word
1278,その当時、私はまだ学生であった。,sentence
1279,アメリカ,word
1280,あなたはアメリカに行くそうですね。,sentence
1281,計,kanji
1282,形,word
1283,どんな,word
1284,この国のどんなところが好きですか？,sentence
1285,風,kanji
1286,景,kanji
1287,影,kanji
1288,響,kanji
1289,影響,word
1290,その事件は彼の将来に影響した。,sentence
1291,歹,radical
1292,殆,kanji
1293,殆ど,word
1294,あの子は友達がほとんどいないのよ。,sentence
1295,役,kanji
1296,害,kanji
1297,割,kanji
1298,役割,word
1299,長い,word
1300,あなたがたは長い間話しましたか。,sentence
1301,後,word
